"","Industry","Age_interval","freq.x","freq.y","prop"
"1","Bakery Prod","0-20",76,13,0.171052631578947
"2","Bakery Prod","21-40",21,NA,NA
"3","Bakery Prod","41-60",32,5,0.15625
"4","Bakery Prod","61-80",17,2,0.117647058823529
"5","Bakery Prod","81-100",5,2,0.4
"6","Dietary Conv Food","0-20",18,7,0.388888888888889
"7","Dietary Conv Food","21-40",42,6,0.142857142857143
"8","Dietary Conv Food","41-60",59,6,0.101694915254237
"9","Dietary Conv Food","61-80",40,2,0.05
"10","Dietary Conv Food","81-100",8,3,0.375
"11","Fishery","0-20",14,NA,NA
"12","Fishery","21-40",58,9,0.155172413793103
"13","Fishery","41-60",75,19,0.253333333333333
"14","Fishery","61-80",44,11,0.25
"15","Fishery","81-100",11,5,0.454545454545455
"16","Soft Drink","0-20",36,3,0.0833333333333333
"17","Soft Drink","21-40",46,11,0.239130434782609
"18","Soft Drink","41-60",41,5,0.121951219512195
"19","Soft Drink","61-80",22,2,0.0909090909090909
"20","Soft Drink","81-100",2,NA,NA
"21","Unconventional_food","0-20",298,37,0.124161073825503
"22","Unconventional_food","21-40",1370,171,0.124817518248175
"23","Unconventional_food","41-60",2140,198,0.0925233644859813
"24","Unconventional_food","61-80",2538,217,0.0855003940110323
"25","Unconventional_food","81-100",809,68,0.0840543881334982
